rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
11,taravis baromfi és élelmiszeripari kft.,6806187.02,0.00241758600119824,Sárvár,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National,1,,
12,ulyssys számitástechnikai fejlesztő és tanácsadó kft.,6423501.71,0.0022816545838566975,Budapest,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,RDP-M20.1 Technical assistance for the tasks related to the Paying Agency and intermediate organization activities of EAFRD,National,1,,
13,altenol energy kft.,6316728.93,0.0022437284473167383,Vácszentlászló,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National,1,,
14,baromfi-coop termelő és kereskedelmi kft.,5708245.63,0.002027592642684836,Debrecen,96e830420e116b9c67d7761fcd217e51d748257a _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 6b24cc16a0f5c725db3b64c844721c883e278052,"VP-M04.1.7- Crop storage, drier, cleaner 2021 _&_ VP-M04.2.1- Development of feed production plants _&_ RDP-M04.1.1.8- Development of husbandry farms _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability",National _&_ EAGF,5,,
15,"bfb plus mezőgazdasági, termelői és kereskedelmi kft.",5621148.17,0.0019966552618257477,Csévharaszt,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1- Development of feed production plants,National,1,,
16,aqua lorenzo kft.,5208328.39,0.001850019955124208,Albertirsa,96e830420e116b9c67d7761fcd217e51d748257a,VP-M04.2.1 Complex Development of food industry plants 2021 - Food Processing Plant,National,1,,
17,agroprodukt mezőgazdasági termelő és értékesítő zrt.,5083592.26,0.0018057131617837507,Pápa,4e1c87969ca6366589a77801c50bc3aea4619e54 _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 9af8c036e98a4d669b44c9a951443ca991fe4956 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 92b0731821d4760964907d4cfb6521a4eec11d58 _&_ ab2fabcac0ca1b02386a96ed6a131c869766989c _&_ 48cc82d74faec3b613552e05e885fd1784db2dd7 _&_ 96f0a3be07ede5f12b8b1c87b956c266fc4260b0 _&_ 15eb98dec2d1260bb138d044616c9f15efa5501b _&_ 3882905e022b6b6d77a20409b1b0d060387baafe _&_ 18d4f18a6a367d546eb169f01417e731f15f9844 _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a,CAP Strategic Plan-DP14 - Dairy Cow Farming Support _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-RD19 - Agri-Environment Management Payments (AKG) RDP _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ RDP-M04.1.1.8- Development of husbandry farms _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ 10.1.1 Agri-environment scheme _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ CAP Strategic Plan-DP16 - Subsidy for the production of fibrous protein fodder crops _&_ CAP Strategic Plan-DP04 - Subsidy for sugar beet production _&_ RDP-M08.5.1 Support for investments improving the resilience and environmental value of forest ecosystems _&_ CAP Strategic Plan-DP07 - VCS - vegetables for industrial use _&_ M08 Improving forest areas and the viability of forests / Afforestation of agricultural land _&_ VP-5-8.4.1-16 Restoring forest damage in forestry potential _&_ RDP - M12 Natura 2000 Forest (NHRDP) _&_ RDP- M15.1.1. Forest-environmental and climate services and forest conservation,EAGF _&_ National _&_ EAFRD,24,,
18,magyar államkincstár,4770725.01,0.0016945814103918545,Budapest,0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80,Operation of Crisis Management Insurance System _&_ RDP-M20.1 Technical assistance for the tasks related to the Paying Agency and intermediate organization activities of EAFRD,EAFRD _&_ National,5,,
19,nemzeti ménesbirtok és tangazdaság zrt.,4760980.97,0.0016911202867656754,Mezőhegyes,96e830420e116b9c67d7761fcd217e51d748257a _&_ 3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ 4e1c87969ca6366589a77801c50bc3aea4619e54 _&_ 9af8c036e98a4d669b44c9a951443ca991fe4956 _&_ 4d982c6bb21582d31ea7936cf29c02344b284866 _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 96f0a3be07ede5f12b8b1c87b956c266fc4260b0 _&_ 92b0731821d4760964907d4cfb6521a4eec11d58,RDP-M04.1.1.8- Development of husbandry farms _&_ CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ CAP Strategic Plan-DP14 - Dairy Cow Farming Support _&_ CAP Strategic Plan-RD19 - Agri-Environment Management Payments (AKG) RDP _&_ CAP Strategic Plan-DP15 - Subsidy for the production of grain protein fodder crops _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ CAP Strategic Plan-DP07 - VCS - vegetables for industrial use _&_ CAP Strategic Plan-DP16 - Subsidy for the production of fibrous protein fodder crops,EAFRD _&_ EAGF _&_ National,12,,
20,enyingi agrár zrt.,4655518.05,0.0016536594179578873,Mátyásdomb,3e7df4640a2e1864c8cd46516f4018c63a789465 _&_ 9af8c036e98a4d669b44c9a951443ca991fe4956 _&_ 4e1c87969ca6366589a77801c50bc3aea4619e54 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ d1f4fcd5347b65e1b7062c19f7c41c8f0e08c7e5 _&_ ab2fabcac0ca1b02386a96ed6a131c869766989c _&_ 0085061858c2f35b3ef2ce168a8cd7dfc241df93 _&_ 92b0731821d4760964907d4cfb6521a4eec11d58 _&_ 18d4f18a6a367d546eb169f01417e731f15f9844,CAP Strategic Plan-DP01 - Basic income support for sustainability _&_ CAP Strategic Plan-RD19 - Agri-Environment Management Payments (AKG) RDP _&_ CAP Strategic Plan-DP14 - Dairy Cow Farming Support _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ CAP Strategic Plan-DP17 - Agro-Ecological Programme (Eco scheme) _&_ CAP Strategic Plan-DP04 - Subsidy for sugar beet production _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ CAP Strategic Plan-DP16 - Subsidy for the production of fibrous protein fodder crops _&_ Natura 2000 payments - grassland (Natura 2000 grassland support),EAGF _&_ National _&_ EAFRD,12,,
