rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
11,union cooperatives vinicoles aquitaine,10634349.4,0.0010326517245634573,COUTRAS,3617db4584f44456f45752be2b0c02efa9dfcea1 _&_ e2dbc10c466ef8f6a3c2c3ee044dce87015f5e77 _&_ babd7d2849ca5aaec91d02e828287a10a6e83cff,"080203070000038 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 080201000300005 M - Mesures d'urgence EAGF _&_ III.3 - School fruit,  vegetables and  milk scheme Chapter II, Section 1","IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) _&_ M - Mesures d'urgence _&_ III.3 - Dans le secteur vitivinicole (articles 57 à 60)",EAGF,3,,
12,cooperative maraichere de l'ouest,10281994.56,0.0009984362009335603,PLOUGASTEL DAOULAS,f3c62491956b0813f7af6c8adeda9a44373698fb _&_ 6e6506a39e6e75868939db6cda17b6c7011f6d45 _&_ c8056a4da19d2fc10f2b6c3f006ca887bc57061f,"III.1 - Public Intervention Chapter I, Section 2 _&_ 080203060000122 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000114 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF","III.1 - Dans le secteur des fruits et légumes (articles 49 à 53) _&_ IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3)",EAGF,3,,
13,fonds europ. d'inv.,10000000.0,0.0009710530336378239,LUXEMBOURG,4b3ae6dbb79cfcdda86758b0b9e8dfe34facadcb _&_ 274181da3fe0dbb290f6d75a000052c1bcaa8726,"080301010004 V.4 - Investissements, y compris dans l’irrigation EAFRD _&_ 080301010004 V.4 - Investissements, y compris dans l’irrigation National _&_ 080301010005 V.5 - Installation de jeunes agriculteurs, nouveaux agriculteurs et création de nouvelles entreprises rurales EAFRD _&_ 080301010005 V.5 - Installation de jeunes agriculteurs, nouveaux agriculteurs et création de nouvelles entreprises rurales National","V.4 - Investissements, y compris dans l’irrigation _&_ V.5 - Installation de jeunes agriculteurs, nouveaux agriculteurs et création de nouvelles entreprises rurales",EAFRD _&_ National,4,,
14,sas distillerie de la tour,9658947.21,0.0009379349990018095,PONS,3617db4584f44456f45752be2b0c02efa9dfcea1 _&_ e2dbc10c466ef8f6a3c2c3ee044dce87015f5e77 _&_ 54a4041c9bccc91b14725580edeb140eb0affc97 _&_ 7a312fb846085f237514ae87b36980c35421074a,"080203070000038 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 080201000300005 M - Mesures d'urgence EAGF _&_ 080203070000024 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 620000000002001 R - Reversements EAGF","IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) _&_ M - Mesures d'urgence _&_ R - Reversements",EAGF,4,,
15,sca oceane,9493502.91,0.0009218694800605009,LA CHEVROLIERE,e48033578b732b1b7cce364da700a5b8e1736db1 _&_ e23c727f54f9bf1b0396439ef723102996c797ad _&_ 8ba4bd1d3c53baf4cc1ecfc1f4e72a8721fad898 _&_ 6e6506a39e6e75868939db6cda17b6c7011f6d45 _&_ 43d7ca7dfd9d3cc3d54a145e60ca65bc36cfac28 _&_ c8056a4da19d2fc10f2b6c3f006ca887bc57061f _&_ ed8ddb10e9588a010ddbeb0e22cb7c4002d9d192,"080203060000120 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000124 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000115 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000122 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000103 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000114 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF _&_ 080203060000110 IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3) EAGF","IV.5 - Aide dans le secteur des fruits et légumes (chapitre II, section 3)",EAGF,7,,
16,commune du tampon,8803998.21,0.0008549149169962472,LE TAMPON,e30acc02f0d5abe3db48671caaa79afeb464e326,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
",VI.4 - Investissements physiques (article 17),EAFRD,1,,
17,banques fonds europeen d'investissement,8790576.209999999,0.0008536115696144984,BORDEAUX,31aa33ceade7b9b7a0b97b0058d29dfc8edae243 _&_ e56d6db7f89744d03a07232c1f5a504d3b4b2d3f _&_ 531e869e74bda97a69eb0ddb5beef834029cacfb _&_ cf39d75a9417065fa71bf682b43d7f752584d383 _&_ 5bc912debb447a32a6461dd9a48c8304d4ec9ade _&_ cf022f7ff31a0fb51b9e17fcfde3d7d669372ddd _&_ 70d3b0a2e30ecad8fb6d1efc980d8287c5d9897b _&_ 0c89cf7470f4bdf22eb9bd09db2e557023d24009 _&_ df88349842bf43a01a860ecd8d610cb394b44dcf _&_ 8d2a79536a31e9841aac6c70875099e2e3002e5c _&_ fbe5d542cfd55c3e0aac3fbcac50e3596f8a39fc _&_ c061d375f813836c1406b4ba1e927399b5ef2e45,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ 080301030888174 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ I.6 - Crop-specific payment for cotton – Title IV, Chapter 1 Section 6 _&_ 080301030898172 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD _&_ 080301030888154 VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) EAFRD","VI.4 - Investissements physiques (article 17) _&_ VI.8 - Investissements dans le développement des zones forestières et amélioration de la viabilité des forêts (article 21, articles 22 à 26) _&_ VI.6 - Développement des exploitations agricoles et des entreprises (article 19)",EAFRD,12,,
18,centre nat interpro economie laitiere,7846038.189999999,0.000761891918643772,PARIS,53b1cbbccf0244392100fbcf6bdf3adcf8c489fc _&_ 4ed89f07d6e0f6041bfb74566c56c046049dcd46 _&_ 719545d87e6b8c1c33262344072f0540e69bf397 _&_ f48812bc8e385198835f5027cf0107c1a9a78292 _&_ 3f5d797352a8cd369fcd4899a0378877678f6922 _&_ 4454e1b807a41931fb1799637ce9479ebb5ef717 _&_ 4d339f45fa5d9285782400661dc07cb09be580e5 _&_ a3095a01a737a9dd2a096d5c26e75a16fa58a923 _&_ f152519ec5f2ddd645061e71f32d00f2bec737e3 _&_ aa924321399e737ecdeb71a94ed529e8604ef7c7 _&_ 47369c785a0af48fa2d074ad10209627689c241c _&_ ab9f79e7d7bd8cb3912194b7c597ea3a049cb213 _&_ ef6377f5670897b07019891e4428c351d5f643ea _&_ 546064ba5a957340c2f5986d888aaa6d51dfff50 _&_ 87410fc26f79942e294bd86dbf19c0bea1d9fa28 _&_ 01ad4ba560d35ea5904c79daaf6009c1e7a9e78b,080203023801703 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801694 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801729 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801644 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801641 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023800646 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801700 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801676 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801670 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023800643 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023800620 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801682 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801647 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801679 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801632 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF _&_ 080203023801650 IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014 EAGF,IX.1 - Actions d’information et de promotion prévues par le règlement (UE) n° 1144/2014,EAGF,16,,
19,sas distillerie douence,7723138.1,0.0007499576681208859,SAINT GENES DE LOMBAUD,3617db4584f44456f45752be2b0c02efa9dfcea1 _&_ e2dbc10c466ef8f6a3c2c3ee044dce87015f5e77 _&_ babd7d2849ca5aaec91d02e828287a10a6e83cff,"080203070000038 IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) EAGF _&_ 080201000300005 M - Mesures d'urgence EAGF _&_ III.3 - School fruit,  vegetables and  milk scheme Chapter II, Section 1","IV.6 - Aide dans le secteur vitivinicole (chapitre II, section 4) _&_ M - Mesures d'urgence _&_ III.3 - Dans le secteur vitivinicole (articles 57 à 60)",EAGF,4,,
20,ctre coop internat recherche agro dev,7107838.51,0.0006902088147743249,SAINT DENIS,95b37fa81ef26a929ff88bc1bfc047d9d50401b9 _&_ 8d7321c6fa24f701fd38758a5a9881d6b71e0967 _&_ 8ce794a9347464556a717dcdd98a0574ed203e65 _&_ fd419620c07fea6698271c7912bfc2ba37adb0a9 _&_ 1b471fa8b3bd5d57fafeb50d7a99d7d43427b1fc _&_ 8d3d48331b3801e1b588e8afeb06c073675da2ef _&_ a62676fbd6947a18ec1e6a38bcd3496ac72b5c50,080301021611104 VI.21 - Coopération (article 35) EAFRD _&_ 080301021612101 VI.21 - Coopération (article 35) EAFRD _&_ 080301031661106 VI.21 - Coopération (article 35) EAFRD _&_ 080301021612106 VI.21 - Coopération (article 35) EAFRD _&_ 080301021611102 VI.21 - Coopération (article 35) EAFRD _&_ 080301022041199 VI.25 - Assistance technique (articles 51 à 54) EAFRD _&_ 080301021611103 VI.21 - Coopération (article 35) EAFRD,VI.21 - Coopération (article 35) _&_ VI.25 - Assistance technique (articles 51 à 54),EAFRD,7,,
