rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
11,osaühing põlva agro,997894.51,0.0031903373443049497,PÕLVA VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal _&_ 9.1 Loomade heaolu toetus _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ KK4 Mulla- ja veekaitsetoetus,EAGF _&_ EAFRD _&_ National,14,,
12,osaühing estonia,949199.28,0.0030346553466572036,TÜRI VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal _&_ 1.4 Põllumajandustootmisega seotud toetus ammlehma kasvatamiseks,EAGF _&_ EAFRD _&_ National,9,,
13,atria farmid oü,930360.0,0.0029744248734744046,VALGA VALD,267c6286a2fa8897d037c04ac17950a4f3b954b8,9.1 Loomade heaolu toetus,EAFRD _&_ National,2,,
14,oü sadala agro,833805.59,0.0026657337874994636,JÕGEVA VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ ÖK3 Kliima- ja keskkonnakava: ökoalad _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal,EAGF,6,,
15,oü pae farmer,813995.88,0.002602400782898756,RAPLA VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ KK4 Mulla- ja veekaitsetoetus _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal _&_ 9.1 Loomade heaolu toetus _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks,EAGF _&_ EAFRD _&_ National,14,,
16,aktsiaselts vändra,772934.0,0.002471123129921821,PÕHJA-PÄRNUMAA VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal,EAGF _&_ EAFRD _&_ National,8,,
17,tiit eskori paevälja talu,747434.62,0.0023895998592199682,VIRU-NIGULA VALD,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 2a2859aa64ac78f32ac8a39a1bb1a1cc4e6a8674 _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ 1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 1.4 Põllumajandustootmisega seotud toetus ammlehma kasvatamiseks _&_ Erakorraline toetus põllumajandustootjate elujõulisust ohustava majandusliku kahju hüvitamiseks _&_ 9.1 Loomade heaolu toetus _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks,EAFRD _&_ National _&_ EAGF,10,,
18,osaühing heseka,741129.57,0.002369442180957253,VINNI VALD,96e830420e116b9c67d7761fcd217e51d748257a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0 _&_ 593be1ac8b242936da4efe3e6025abf25b84019a,4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal,EAFRD _&_ National _&_ EAGF,9,,
19,osaühing aaspere agro,709518.67,0.002268379960706047,HALJALA VALD,7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0,1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ KK4 Mulla- ja veekaitsetoetus _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks,EAGF _&_ EAFRD _&_ National,10,,
20,osaühing tavex,700165.01,0.00223847566671015,KEHTNA VALD,96e830420e116b9c67d7761fcd217e51d748257a _&_ 7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ 593be1ac8b242936da4efe3e6025abf25b84019a _&_ 3c443610677e50940c95c0a228b76de715468bab _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8 _&_ f5be9436f792236113ec36aca52ce84ec60e04a0 _&_ d8d1dc736d54b69fde315c13d16c374ae1764e77,4.1 Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks _&_ 1.1 Põhiline sissetulekutoetus jätkusuutlikkuseks _&_ ÖK1 Kliima- ja keskkonnakava: keskkonnasõbralik majandamine _&_ 1.3 Põllumajandustootmisega seotud toetus piimalehma kasvatamiseks _&_ 9.3 Loomade tervist edendavate kõrgemate majandamisnõuete toetus _&_ 9.1 Loomade heaolu toetus _&_ 1.6 Põllumajandustootmisega seotud toetus tera- ja kaunviljakultuuride kasvatamiseks _&_ 1.2 Täiendav ümberjaotav sissetulekutoetus jätkusuutlikkuseks _&_ ÖK4 Kliima- ja keskkonnakava: ökosüsteemiteenuste säilitamine põllumaal _&_ KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ EAGF _&_ National,14,,
