rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,counts,latitude,longitude
19,"iroa, s.a.",1693876.5,0.001040504444738906,ILHA DE SAO MIGUEL,96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
20,confagri - conf. nac. das coop. agric. e credito agric. de portugal ccrl,1683531.87,0.0010341500065645885,LISBOA,2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.2 _&_ VI.1 _&_ VI.25,VI.2 _&_ VI.1 _&_ VI.25,3,,
196126,nome do nifap 15183,9.7,5.9584586680123294e-09,ILHA DE SAO MIGUEL,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
196127,nome do nifap 68111,9.44,5.79874740474602e-09,66666,91ca7a8751c15dac4a4b91f46ec736d9f8002557,V.6,V.6,1,,
196128,nome do nifap 11690,9.0,5.528466805372265e-09,ILHA DE SAO MIGUEL,4faa1e69e1865f3c356ae2ed5b45139089ed5ece _&_ 0746364c516c8411be095d64938625686f815012,V.2 _&_ II.12,V.2 _&_ II.12,2,,
196129,nome do nifap 15915,8.97,5.510038582687691e-09,"PORTO, PORTO",df6edca01bf13388eb18528622472ecc5db99198,VI.18,VI.18,1,,
196130,nome do nifap 1823,8.69,5.338041837631664e-09,LISBOA,91ca7a8751c15dac4a4b91f46ec736d9f8002557,V.6,V.6,1,,
196131,nome do nifap 7599,8.58,5.270471687788226e-09,VISEU,df6edca01bf13388eb18528622472ecc5db99198,VI.18,VI.18,1,,
196132,nome do nifap 24505,8.4,5.159902351680781e-09,VILA REAL,267c6286a2fa8897d037c04ac17950a4f3b954b8,V.1,V.1,1,,
196133,nome do nifap 1524,7.53,4.625483893828129e-09,"SANTAREM, SANTAREM",55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15,VI.15,1,,
196134,nome do nifap 59287,7.33,4.502629075930967e-09,"PORTO DE MOS, LEIRIA",91ca7a8751c15dac4a4b91f46ec736d9f8002557,V.6,V.6,1,,
