rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
16,gemeinde steinach am brenner,2019950.08,0.0010356042444172678,STEINACH AM BRENNER,ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
17,oö. landespflege- und betreuungszentren gmbh,2005272.96,0.0010280794605533904,WARTBERG OB DER AIST,ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
18,österreich wein marketing gmbh,1971089.16,0.0010105538351823362,WIEN,97805dfaccd02b7468dfb07b58bd8cfca984800d,IV.6 Unterstützung im Weinsektor (Kapitel II Abschnitt 4) EAGF,Unterstützung im Weinsektor (Kapitel II Abschnitt 4),EAGF,1,,
19,biene österreich - imkereidachverband,1865652.61,0.0009564977771748466,WIEN,7f47e535f6a0c7780f140035d44628aea91f1ab0 _&_ c46d3bab180b10bfc4138336d3f2dfb0b120067e,"III.2 - Aid for private storage Chapter I, Section 3 _&_ IV.8 Beihilfe im Bienenzuchtsektor (Kapitel II Abschnitt 5) National _&_ IV.8 Beihilfe im Bienenzuchtsektor (Kapitel II Abschnitt 5) EAGF","Vorhaben im Bienenzuchtsektor (Artikel 54, 55 und 56) _&_ Beihilfe im Bienenzuchtsektor (Kapitel II Abschnitt 5)",EAGF _&_ National,4,,
20,marktgemeinde atzenbrugg,1802160.36,0.0009239460600613215,ATZENBRUGG,ba90013a92ee3fa1895b18b70992e7a25e867a0b,"I.7 - Specific support – Title III, Chapter 5",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
103401,124830_anonymisiert,1.08,5.537030815982587e-10,MATTERSBURG,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD _&_ National,2,,
103402,105933_anonymisiert,1.08,5.537030815982587e-10,ROHRBACH,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD _&_ National,2,,
103403,123254_anonymisiert,1.08,5.537030815982587e-10,SANKT JOHANN IM PONGAU,55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ ec00d1395dc58b565abc70500f4602c53747efb1,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.16 Ökologischer/biologischer Landbau (Artikel 29) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28) _&_ Ökologischer/biologischer Landbau (Artikel 29),National _&_ EAFRD,3,,
103404,178522_anonymisiert,1.06,5.434493208279205e-10,GROSSRAMING,ec00d1395dc58b565abc70500f4602c53747efb1,VI.16 Ökologischer/biologischer Landbau (Artikel 29) EAFRD _&_ VI.16 Ökologischer/biologischer Landbau (Artikel 29) National,Ökologischer/biologischer Landbau (Artikel 29),EAFRD _&_ National,2,,
103405,167770_anonymisiert,1.04,5.331955600575824e-10,MURAU,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
