rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,counts,latitude,longitude
1,ferreira gomes & filhos lda,8479064.25,0.005188796004928579,"TOMAR, SANTAREM",10fa50efa959c089ecfe1a23ce7144a0423d6a8e,IV.7,IV.7,1,,
2,associação de regantes e beneficiários do vale do sado,7598887.21,0.00465016827737222,"ALCACER DO SAL, SETUBAL",96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
3,sociedade de destilacao da longra lda,5980199.65,0.0036596061944683686,"TOMAR, SANTAREM",10fa50efa959c089ecfe1a23ce7144a0423d6a8e _&_ 0746364c516c8411be095d64938625686f815012,IV.7 _&_ II.12,IV.7 _&_ II.12,2,,
4,european investment fund,5016715.25,0.003069998207297967,,96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
5,cooperativa união agrícola crl,3748407.31,0.002293852281514801,"RIBEIRA GRANDE, ILHA DE SAO MIGUEL",96e830420e116b9c67d7761fcd217e51d748257a _&_ 02aa612697c6b5e8b4a4656b13079bfb3afd8409 _&_ e99ac5c92087b6643b7cb36921f4809df25e566f,VI.4 _&_ VII.1 _&_ II.11,VI.4 _&_ VII.1 _&_ II.11,3,,
6,lusomorango - organizacao de produtores de pequenos frutos sa,3720485.57,0.0022767654652469968,"ODEMIRA, BEJA",97805dfaccd02b7468dfb07b58bd8cfca984800d,IV.6,IV.6,1,,
7,"destildouro-destilações do douro, s. a.",3547346.93,0.002170812608063403,"ARMAMAR, VISEU",10fa50efa959c089ecfe1a23ce7144a0423d6a8e _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ ad41b397e4a0c5f926e6a3e4a67e3dbe132e9fce _&_ ab370fec4885b95251a7e11ee2b4f24e631980e4 _&_ e99ac5c92087b6643b7cb36921f4809df25e566f _&_ 0746364c516c8411be095d64938625686f815012,IV.7 _&_ VI.15 _&_ VI.18 _&_ II.1 _&_ II.4 _&_ II.3 _&_ VI.26 _&_ II.11 _&_ II.12,IV.7 _&_ VI.15 _&_ VI.18 _&_ II.1 _&_ II.4 _&_ II.3 _&_ VI.26 _&_ II.11 _&_ II.12,9,,
8,associação de beneficiarios da barragem dos minutos,3530114.88,0.0021602673887372572,"MONTEMOR-O-NOVO, EVORA",96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
9,direcção geral de agricultura e desenvolvimento rural,3502230.94,0.002143203704324951,"LISBOA, LISBOA",96e830420e116b9c67d7761fcd217e51d748257a _&_ c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.4 _&_ VI.25,VI.4 _&_ VI.25,2,,
10,direccao regional de agricultura e pescas do norte,3368613.0900000003,0.0020614357467030773,"MIRANDELA, BRAGANCA",c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ ad41b397e4a0c5f926e6a3e4a67e3dbe132e9fce _&_ e99ac5c92087b6643b7cb36921f4809df25e566f _&_ 10fa50efa959c089ecfe1a23ce7144a0423d6a8e,VI.25 _&_ VI.4 _&_ VI.15 _&_ II.1 _&_ II.4 _&_ VI.18 _&_ II.3 _&_ II.11 _&_ IV.7,VI.25 _&_ VI.4 _&_ VI.15 _&_ II.1 _&_ II.4 _&_ VI.18 _&_ II.3 _&_ II.11 _&_ IV.7,9,,
11,"insular - produtos alimentares, s.a",3294589.93,0.0020161369890152594,"MACHICO, ILHA DA MADEIRA",02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
12,edia - empresa de desenvolvimento e infra-estruturas do alqueva s.a.,3248893.4000000004,0.0019881728215892258,"BEJA, BEJA",96e830420e116b9c67d7761fcd217e51d748257a _&_ ec00d1395dc58b565abc70500f4602c53747efb1 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 18d4f18a6a367d546eb169f01417e731f15f9844 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ ab370fec4885b95251a7e11ee2b4f24e631980e4 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ e99ac5c92087b6643b7cb36921f4809df25e566f,VI.4 _&_ VI.16 _&_ II.7 _&_ VI.17 _&_ VI.15 _&_ VI.21 _&_ VI.26 _&_ VI.18 _&_ II.11,VI.4 _&_ VI.16 _&_ II.7 _&_ VI.17 _&_ VI.15 _&_ VI.21 _&_ VI.26 _&_ VI.18 _&_ II.11,9,,
13,"iroa, s.a.",2797013.67,0.0017116432814654782,"RIBEIRA GRANDE, ILHA DE SAO MIGUEL",96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
14,secretaria regional de agricultura e desenvolvimento rural,2777185.22,0.0016995091851654148,"FUNCHAL, ILHA DA MADEIRA",c0e4522846c6c3fb0cd25d5e0bdd284205617a80 _&_ bd065481240836afd5ed455a4f9c64d129f1968d _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 02aa612697c6b5e8b4a4656b13079bfb3afd8409,VI.25 _&_ VI.8 _&_ VI.4 _&_ VI.21 _&_ VII.1,VI.25 _&_ VI.8 _&_ VI.4 _&_ VI.21 _&_ VII.1,5,,
15,"a.r.m - águas e resíduos da madeira, sa",2604213.19,0.0015936582856126266,"FUNCHAL, ILHA DA MADEIRA",96e830420e116b9c67d7761fcd217e51d748257a,VI.4,VI.4,1,,
16,finançor - agro-alimentar s.a.,2556543.4,0.0015644865741342303,"PONTA DELGADA, ILHA DE SAO MIGUEL",02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
17,rama-rações para animais s.a.,2413947.1,0.0014772242194755077,"SANTA CRUZ, ILHA DA MADEIRA",02aa612697c6b5e8b4a4656b13079bfb3afd8409 _&_ 0746364c516c8411be095d64938625686f815012,VII.1 _&_ II.12,VII.1 _&_ II.12,2,,
18,companhia das lezírias s.a.,2373342.08,0.0014523758211919299,"BENAVENTE, SANTAREM",e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ ec00d1395dc58b565abc70500f4602c53747efb1 _&_ bd065481240836afd5ed455a4f9c64d129f1968d _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 10fa50efa959c089ecfe1a23ce7144a0423d6a8e _&_ e99ac5c92087b6643b7cb36921f4809df25e566f _&_ ab370fec4885b95251a7e11ee2b4f24e631980e4 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ ad41b397e4a0c5f926e6a3e4a67e3dbe132e9fce _&_ 96e830420e116b9c67d7761fcd217e51d748257a,II.1 _&_ II.4 _&_ VI.16 _&_ VI.8 _&_ II.7 _&_ VI.15 _&_ IV.7 _&_ II.11 _&_ VI.26 _&_ VI.18 _&_ II.3 _&_ VI.4,II.1 _&_ II.4 _&_ VI.16 _&_ VI.8 _&_ II.7 _&_ VI.15 _&_ IV.7 _&_ II.11 _&_ VI.26 _&_ VI.18 _&_ II.3 _&_ VI.4,12,,
19,"destilaria levira, lda",2372885.72,0.0014520965499333345,"ANADIA, AVEIRO",10fa50efa959c089ecfe1a23ce7144a0423d6a8e,IV.7,IV.7,1,,
20,viniportugal associação interprofissional do vinho,2208790.6300000004,0.0013516779279821687,"LISBOA, LISBOA",10fa50efa959c089ecfe1a23ce7144a0423d6a8e _&_ 0746364c516c8411be095d64938625686f815012,IV.7 _&_ II.12,IV.7 _&_ II.12,2,,
200894,nome 39433,0.6,3.6717230948652705e-10,"PONTE DA BARCA, VIANA DO CASTELO",10fa50efa959c089ecfe1a23ce7144a0423d6a8e,IV.7,IV.7,1,,
