rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,"magyar agrár-, élelmiszergazdasági és vidékfejlesztési kamara",14818313.097558,0.004143339347410771,Budapest,5abb8e839342a4b1aa51552b57dc0adc9c0c66e7 _&_ e56674353bbed471b53a5d8c33e3f14aef8a2d7e,RDP-M01.2.2-Information actions _&_ 20.1 Technical assistance for implementing the Rural Development Program,EAFRD,3,,
2,floratom-ker termelõi értékesítõ szövetkezet,10485219.572268,0.0029317657505279,Szeged,e2779905ae4a790da0b7015c96d09d3087164bf4 _&_ f557551fae690202cba8cb5eb0351e5dbe2ce839 _&_ d406305506fbc5e3d5612ddf3ca1e41e0eb62e69 _&_ e9fc768939062edf802ed651033ec32d2ddd94ca,RDP-M04.1.3 Horticulture modernization - plants _&_ RDP-M04.1.6-Improving the energy efficiency of the agricultural plants _&_ PO operation programmes _&_ RDP-M04.1.3.5- Horticulture modernization - machines,EAFRD _&_ National _&_ EAGF,8,,
3,otp bank nyrt.,8593393.364951001,0.002402793396412157,Budapest,6ebc752333175179d5761eaeb8c0b3e64186bd57 _&_ 48b759a7b9e7eb0e84234166ca7b1f07fc2ab364 _&_ f7d49713358fcd78a29b26106ae45b362a15a221,Agri Széchenyi Card (ASzK) overdraft _&_ Interest rate subsidies for investment loans _&_ Interest rate subsidy available in Agricultural Current Assets Loan Programme 2020,National,3,,
4,atev fehérjefeldolgozó zrt.,8349827.512214,0.002334690099182111,Budapest,a8be0ab1eb67f2f4eef0181218c1f905e814b79a,Disposal of animal corpses,National,1,,
5,hódkertész kft.,7085879.690802,0.0019812784316695993,Hódmezõvásárhely,e2779905ae4a790da0b7015c96d09d3087164bf4 _&_ d406305506fbc5e3d5612ddf3ca1e41e0eb62e69 _&_ 1b8c409545f4018645acd4faca130eb68194e1f9 _&_ 88c842a767d17e43c760d57bc4eb473c7571b933,RDP-M04.1.3 Horticulture modernization - plants _&_ PO operation programmes _&_ Single area payment scheme (SAPS) _&_ Payments for agricultural practises beneficial for the climate and the environment,EAFRD _&_ National _&_ EAGF,6,,
6,kotasz komplex tanácsadó és szolgáltató kft.,7047910.469462,0.001970661881207152,Nyíregyháza,e5a7bcc82692d5c9b7c6454a01ca38e953f245bf _&_ 3dd59cb90e56e2063f00cf16af7ecbde4c5970b7 _&_ d085c2fedccbf4e92f0891913562a2e6121daad1 _&_ cda93d56ed476aaf3120df79155b3d968bab5c1b _&_ 66e25dc7b176d2c21ba18e73c4ac6d2a29b68bb3,"RDP-M04.1.1.8- Development of husbandry farms _&_ VP-M04.1.7- Crop storage, drier, cleaner 2021 _&_ Poultry animal walfare support _&_ Poultry animal walfare support - de minimis _&_ RDP-M04.1.1.7 Development of disease control systems-Poultry and pigs",EAFRD _&_ National,7,,
7,meat pro-max termelõ és szolgáltató kft.,6720957.333981001,0.0018792427174953933,Budapest,e5a7bcc82692d5c9b7c6454a01ca38e953f245bf _&_ d085c2fedccbf4e92f0891913562a2e6121daad1 _&_ cda93d56ed476aaf3120df79155b3d968bab5c1b _&_ 66e25dc7b176d2c21ba18e73c4ac6d2a29b68bb3,RDP-M04.1.1.8- Development of husbandry farms _&_ Poultry animal walfare support _&_ Poultry animal walfare support - de minimis _&_ RDP-M04.1.1.7 Development of disease control systems-Poultry and pigs,EAFRD _&_ National,6,,
8,kisalföldi mezõgazdasági zrt.,6659686.733318,0.0018621108827922693,Nagyszentjános,e5a7bcc82692d5c9b7c6454a01ca38e953f245bf _&_ 0cf7185b0dd82b44543862ec772b186d64157088 _&_ 5c7a90d448a030fe505fa975677666308d80fc9e _&_ 0a5cd36eb6cdf7a21ce0b262386c1283f3f6d311 _&_ e2779905ae4a790da0b7015c96d09d3087164bf4 _&_ 628350287eed8c50dd970f565a39ef35e5847a87 _&_ aaffbc5394279b451c83ce9c4e7c21a17efbbb4f _&_ cda7fce011a06fec559ec49b9ed849190f4e8dbe _&_ 1b8c409545f4018645acd4faca130eb68194e1f9 _&_ 47a3caf92643d31906647a182939dda00ef39206 _&_ 88c842a767d17e43c760d57bc4eb473c7571b933 _&_ fe528484e97f261ad2c8c43bc448651c39e9abf9 _&_ 884664e2b05132fc64612532ca36d638de542a0b _&_ 19489240384706a0f5c94382ca64078e4a7a362d _&_ ffcae9d6c74fd45fa73508d22dc622f0622c9233 _&_ da8107cc584b0523a154cf8c9ef0a313e7eb2b13 _&_ 4324f74a454652cf23fae102c2c40a85ccd1d154 _&_ 4c2e35b61d6fb574dd859d3516b2daebfc36a2e2,"RDP-M04.1.1.8- Development of husbandry farms _&_ Voluntary coupled scheme for milking cow support _&_ RDP-M04.1.4- Water management _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ RDP-M04.1.3 Horticulture modernization - plants _&_ National milk support _&_ 11.1.1 - 11.2.1 Convert to organic farming, maintain organic farming _&_ VP-M04.1.8-Precision improvements to the agricultural digital transition _&_ Single area payment scheme (SAPS) _&_ 10.1.1 Agri-environment scheme _&_ Payments for agricultural practises beneficial for the climate and the environment _&_ Agricultural damage mitigation _&_ Reimbursement of financial discipline _&_ Voluntary coupled support for vegetables for processing _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ Voluntary coupled support for protein crops _&_ Cattle premium - Decoupled since 2007 _&_ Temporary Crisis and Transition Framework - bulk fodder transport",EAFRD _&_ EAGF _&_ National,28,,
9,baromfi-coop termelõ és kereskedelmi kft.,6575606.927333,0.001838601380316058,Debrecen,e5a7bcc82692d5c9b7c6454a01ca38e953f245bf _&_ d085c2fedccbf4e92f0891913562a2e6121daad1 _&_ 66e25dc7b176d2c21ba18e73c4ac6d2a29b68bb3 _&_ 1f1be239ef9e946d01b8332c596a0f296774e35a _&_ 1b8c409545f4018645acd4faca130eb68194e1f9 _&_ 88c842a767d17e43c760d57bc4eb473c7571b933 _&_ 884664e2b05132fc64612532ca36d638de542a0b,RDP-M04.1.1.8- Development of husbandry farms _&_ Poultry animal walfare support _&_ RDP-M04.1.1.7 Development of disease control systems-Poultry and pigs _&_ Prevention of animal diseases (poultry) _&_ Single area payment scheme (SAPS) _&_ Payments for agricultural practises beneficial for the climate and the environment _&_ Reimbursement of financial discipline,EAFRD _&_ National _&_ EAGF,9,,
10,bólyi mezõgazdasági termelõ és kereskedelmi zrt.,6278214.294782,0.001755447610520109,Bóly,47a3caf92643d31906647a182939dda00ef39206 _&_ 88c842a767d17e43c760d57bc4eb473c7571b933 _&_ 0cf7185b0dd82b44543862ec772b186d64157088 _&_ 29dd6564fe627f23386f73fa7e29f9c83ac8794c _&_ 995483cabcaa2517c48127405a4804eb0ed056ac _&_ 628350287eed8c50dd970f565a39ef35e5847a87 _&_ 0a5cd36eb6cdf7a21ce0b262386c1283f3f6d311 _&_ 1b8c409545f4018645acd4faca130eb68194e1f9 _&_ ffcae9d6c74fd45fa73508d22dc622f0622c9233 _&_ 733d8ad6603b6e356bc29f6702928910335439d0 _&_ 3fd6a0de90e5ea9ff75015fab6ee2c298f432e35 _&_ 884664e2b05132fc64612532ca36d638de542a0b _&_ da8107cc584b0523a154cf8c9ef0a313e7eb2b13 _&_ 19489240384706a0f5c94382ca64078e4a7a362d _&_ a8be0ab1eb67f2f4eef0181218c1f905e814b79a _&_ 476c77da2349300f8ffb936e28ff6906e039ed7c _&_ 4c2e35b61d6fb574dd859d3516b2daebfc36a2e2 _&_ 4324f74a454652cf23fae102c2c40a85ccd1d154,10.1.1 Agri-environment scheme _&_ Payments for agricultural practises beneficial for the climate and the environment _&_ Voluntary coupled scheme for milking cow support _&_ Animal welfare support - Breeding sow _&_ Swine animal walfare support _&_ National milk support _&_ RDP-M14.1.1- Animal welfare in the milk sector _&_ Single area payment scheme (SAPS) _&_ VP-3-17.1.1-16 Contribution to insurance premium _&_ Voluntary coupled support for soybean and protein crops _&_ Temporary Crisis and Transition Framework - swine animal walfare _&_ Reimbursement of financial discipline _&_ Voluntary coupled support for protein crops _&_ Voluntary coupled support for vegetables for processing _&_ Disposal of animal corpses _&_ Natura 2000 payments - grassland (Natura 2000 grassland support) _&_ Temporary Crisis and Transition Framework - bulk fodder transport _&_ Cattle premium - Decoupled since 2007,EAFRD _&_ EAGF _&_ National,21,,
