rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
92155,3397289,21.25,1.2991653430543689e-08,DONEGAL,a72710e0cb04ff1be5b418c643ec42b847aba533,Animal Welfare EAFRD,Animal Welfare,EAFRD,1,,
92156,3457901,20.96,1.2814355571962153e-08,GALWAY,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92157,3367552,20.62,1.2606489117073454e-08,CORK,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92158,3402578,20.0,1.2227438522864649e-08,KILDARE,19b7fc23724600f159b4b18568836e380913f68d,Agri Environment Climate EAFRD,Agri Environment Climate,EAFRD,1,,
92159,3473975,19.75,1.2074595541328841e-08,GALWAY,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92160,3441981,19.01,1.162218031598285e-08,CORK,a72710e0cb04ff1be5b418c643ec42b847aba533,Animal Welfare EAFRD,Animal Welfare,EAFRD,1,,
92161,3374498,17.43,1.0656212672676541e-08,CAVAN,f01c02d459ced23bb4b6acfc501bdf08950f6831,Direct Payments EAGF,Direct Payments,EAGF,1,,
92162,3422690,15.0,9.170578892148487e-09,WEXFORD,a72710e0cb04ff1be5b418c643ec42b847aba533,Animal Welfare EAFRD,Animal Welfare,EAFRD,1,,
92163,3462259,13.5,8.253521002933638e-09,TIPPERARY,a72710e0cb04ff1be5b418c643ec42b847aba533,Animal Welfare EAFRD,Animal Welfare,EAFRD,1,,
92164,3440938,9.95,6.083150665125163e-09,ROSCOMMON,f01c02d459ced23bb4b6acfc501bdf08950f6831,Direct Payments EAGF,Direct Payments,EAGF,1,,
92165,3383557,9.74,5.954762560635084e-09,GALWAY,19b7fc23724600f159b4b18568836e380913f68d,Agri Environment Climate EAFRD,Agri Environment Climate,EAFRD,1,,
92166,3369872,9.67,5.911966525805058e-09,CLARE,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92167,3459356,9.27,5.667417755347764e-09,TIPPERARY,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92168,3366330,7.68,4.695336392780025e-09,LIMERICK,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92169,3407161,7.5,4.585289446074244e-09,OFFALY,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92170,3423243,5.31,3.246384927820564e-09,MONAGHAN,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92171,3386621,3.59,2.1948252148542043e-09,CARLOW,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
92172,3474153,0.27,1.6507042005867276e-10,MONAGHAN,80d0e11dfbdb22186b9118eb10b919a54d28bb0d,Areas facing Natural/Specific Constraints EAFRD,Areas facing Natural/Specific Constraints,EAFRD,1,,
