rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
1,"lesy české republiky, s.p.",167928754.94,0.00457951476598303,Hradec Králové,3882905e022b6b6d77a20409b1b0d060387baafe _&_ 48cc82d74faec3b613552e05e885fd1784db2dd7 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 0f637cc9d41072e357633b3026ef190b4f8709f0 _&_ df6edca01bf13388eb18528622472ecc5db99198,"VI.11 Restoration of damage to forests from natural disasters National _&_ VI.12 Investments improving the resilience of forest ecosystems National _&_ VI.12 Investments improving the resilience of forest ecosystems EAFRD _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ VI.11 Restoration of damage to forests from natural disasters EAFRD _&_ VI.20 Forest-environmental and climate services EAFRD _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.15 Agri-environment-climate EAFRD _&_ VI.20 Forest-environmental and climate services National _&_ FKK Reimbursement financial discipline EAGF _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ VI.15 Agri-environment-climate National _&_ VI.18 Areas facing natural or other specific constraints National",Restoration of damage to forests from natural disasters _&_ Investments improving the resilience of forest ecosystems _&_ Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Forest-environmental and climate services _&_ Voluntary coupled support _&_ Agri-environment-climate _&_ Reimbursement financial discipline _&_ Areas facing natural or other specific constraints,National _&_ EAFRD _&_ EAGF,67,,
2,"bovys, s.r.o.",116380401.93,0.0031737612137951042,Dědová,141bc77784b65c7c4d14bce3d0ba4f914978ff7c,"IV.3 School fruit, vegetables and milk scheme National _&_ IV.3 School fruit, vegetables and milk scheme EAGF","School fruit, vegetables and milk scheme",National _&_ EAGF,42,,
3,"vojenské lesy a statky čr, s.p.",102184413.2,0.0027866283488489447,Praha,d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ ec00d1395dc58b565abc70500f4602c53747efb1 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 06b92185bd05ac6a8972f8629ccdc1f3d2c6b68a _&_ 0f637cc9d41072e357633b3026ef190b4f8709f0 _&_ 18d4f18a6a367d546eb169f01417e731f15f9844,"II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ VI.16 Organic farming EAFRD _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ VI.15 Agri-environment-climate EAFRD _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.16 Organic farming National _&_ VI.18 Areas facing natural or other specific constraints National _&_ VI.15 Agri-environment-climate National _&_ VI.20 Forest-environmental and climate services EAFRD _&_ FKK Reimbursement financial discipline EAGF _&_ VI.20 Forest-environmental and climate services National _&_ VI.17 Natura 2000 and Water Framework Directive payments EAFRD _&_ VI.17 Natura 2000 and Water Framework Directive payments National",Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Organic farming _&_ Areas facing natural or other specific constraints _&_ Agri-environment-climate _&_ Voluntary coupled support _&_ Forest-environmental and climate services _&_ Reimbursement financial discipline _&_ Natura 2000 and Water Framework Directive payments,EAGF _&_ EAFRD _&_ National,71,,
4,státní zemědělský intervenční fond,100273191.0,0.0027345082084411763,Praha,c0e4522846c6c3fb0cd25d5e0bdd284205617a80,VI.25 Technical assistance EAFRD _&_ VI.25 Technical assistance National,Technical assistance,EAFRD _&_ National,71,,
5,"agro - měřín, a.s.",88285120.58,0.002407586559295086,Měřín,d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 0f637cc9d41072e357633b3026ef190b4f8709f0 _&_ 15eb98dec2d1260bb138d044616c9f15efa5501b,"II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ VI.19 Animal welfare National _&_ VI.15 Agri-environment-climate EAFRD _&_ VI.19 Animal welfare EAFRD _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.18 Areas facing natural or other specific constraints National _&_ FKK Reimbursement financial discipline EAGF _&_ VI.15 Agri-environment-climate National _&_ VI.9 Afforestation and creation of woodland EAFRD _&_ VI.9 Afforestation and creation of woodland National",Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Voluntary coupled support _&_ Areas facing natural or other specific constraints _&_ Animal welfare _&_ Agri-environment-climate _&_ Investments in physical assets _&_ Reimbursement financial discipline _&_ Afforestation and creation of woodland,EAGF _&_ EAFRD _&_ National,75,,
6,madeta a. s.,81939520.08,0.0022345383448951033,České Budějovice,96e830420e116b9c67d7761fcd217e51d748257a _&_ 141bc77784b65c7c4d14bce3d0ba4f914978ff7c,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ IV.3 School fruit, vegetables and milk scheme National _&_ IV.3 School fruit, vegetables and milk scheme EAGF","Investments in physical assets _&_ School fruit, vegetables and milk scheme",National _&_ EAGF,40,,
7,proagro nymburk a.s.,70232020.72,0.0019152680316541514,Nymburk,96e830420e116b9c67d7761fcd217e51d748257a _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ df6edca01bf13388eb18528622472ecc5db99198,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.19 Animal welfare National _&_ VI.19 Animal welfare EAFRD _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ VI.18 Areas facing natural or other specific constraints National",Investments in physical assets _&_ Animal welfare _&_ Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Areas facing natural or other specific constraints,National _&_ EAFRD _&_ EAGF,13,,
8,zd krásná hora nad vltavou a.s.,62394663.95,0.0017015387565975013,Krásná Hora nad Vltavou,d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,"II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ VI.15 Agri-environment-climate EAFRD _&_ VI.18 Areas facing natural or other specific constraints National _&_ VI.19 Animal welfare National _&_ VI.19 Animal welfare EAFRD _&_ VI.15 Agri-environment-climate National _&_ VI.24 Support for LEADER local development EAFRD _&_ VI.24 Support for LEADER local development National",Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Investments in physical assets _&_ Voluntary coupled support _&_ Areas facing natural or other specific constraints _&_ Agri-environment-climate _&_ Animal welfare _&_ Support for LEADER local development,EAGF _&_ National _&_ EAFRD,52,,
9,zemědělské družstvo dolní újezd,60182665.81,0.0016412162814616834,Dolní Újezd,d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 0f637cc9d41072e357633b3026ef190b4f8709f0,"II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ VI.19 Animal welfare National _&_ VI.19 Animal welfare EAFRD _&_ VI.15 Agri-environment-climate EAFRD _&_ FKK Reimbursement financial discipline EAGF _&_ VI.18 Areas facing natural or other specific constraints National _&_ VI.15 Agri-environment-climate National",Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Voluntary coupled support _&_ Areas facing natural or other specific constraints _&_ Investments in physical assets _&_ Animal welfare _&_ Agri-environment-climate _&_ Reimbursement financial discipline,EAGF _&_ EAFRD _&_ National,29,,
10,"zemspol dešná, s.r.o.",58923836.35,0.0016068872703165452,Dešná,96e830420e116b9c67d7761fcd217e51d748257a _&_ d03197faeef8ae1d065225a1bee5d3abb91d7f6d _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ 0f637cc9d41072e357633b3026ef190b4f8709f0 _&_ df6edca01bf13388eb18528622472ecc5db99198,"I.4 - Beef and veal payments –Title IV, Chapter 1, Section 11
 _&_ II.2 - Single area payment scheme – Art. 36 _&_ II.4 - Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3 _&_ II.7 - Voluntary coupled support – Title IV, Chapter 1 _&_ VI.19 Animal welfare National _&_ VI.19 Animal welfare EAFRD _&_ VI.15 Agri-environment-climate EAFRD _&_ FKK Reimbursement financial discipline EAGF _&_ VI.18 Areas facing natural or other specific constraints EAFRD _&_ VI.15 Agri-environment-climate National _&_ VI.18 Areas facing natural or other specific constraints National",Investments in physical assets _&_ Single area payment scheme _&_ Practices beneficial for climate and environment (GREENING) _&_ Voluntary coupled support _&_ Animal welfare _&_ Agri-environment-climate _&_ Reimbursement financial discipline _&_ Areas facing natural or other specific constraints,National _&_ EAGF _&_ EAFRD,27,,
